10,24.36,409.11
25,23.11,1076.11
50,23.22,2133.14
75,22.47,3257.60
100,20.05,4810.09
125,20.71,5766.38
150,19.34,7303.81
175,19.25,8504.70
200,18.34,10084.51
225,18.45,11166.33
250,18.61,12937.64
