10,31.66,312.65
25,29.03,782.13
50,25.99,1547.76
75,30.37,1913.82
100,26.35,2777.95
125,22.01,3760.87
150,18.31,3855.96
175,15.20,4377.89
200,7.97,4540.73
225,7.30,4978.33
250,0.00,0.00
